"x","y","pred","pred_var","time_in_seconds"
-57.7085427135678,-49.9246231155779,-0.445531928566204,0.155425952430246,1.31764
-57.6482412060301,-49.9246231155779,-0.587260364367264,0.156743512057248,1.31764
-57.5879396984925,-49.9246231155779,-0.704816843406231,0.180372653685203,1.31764
-57.5276381909548,-49.9246231155779,-0.746344743871219,0.212632434188497,1.31764
-57.4673366834171,-49.9246231155779,-0.723977343028359,0.18531679723664,1.31764
-57.4070351758794,-49.9246231155779,-0.623079869712821,0.16398203053342,1.31764
-57.3467336683417,-49.9246231155779,-0.58037405042182,0.146597527254924,1.31764
-57.286432160804,-49.9246231155779,-0.637592177494952,0.15675110756821,1.31764
-57.2261306532663,-49.9246231155779,-0.675138076708091,0.15466073052523,1.31764
-57.1658291457286,-49.9246231155779,-0.75551931621856,0.169031720597413,1.31764
-57.105527638191,-49.9246231155779,-0.846073169993652,0.163710661465348,1.31764
-57.0452261306533,-49.9246231155779,-0.908156898093829,0.142948427249294,1.31764
-56.9849246231156,-49.9246231155779,-0.938344644566595,0.14336759400728,1.31764
-56.9246231155779,-49.9246231155779,-0.917494155695199,0.140036835397967,1.31764
-56.8643216080402,-49.9246231155779,-0.848944189086922,0.158266015861263,1.31764
-56.8040201005025,-49.9246231155779,-0.789151000404427,0.168441138311284,1.31764
-56.7437185929648,-49.9246231155779,-0.752330299958363,0.1551073466804,1.31764
-56.6834170854271,-49.9246231155779,-0.937222969306021,0.164436603254929,1.31764
-56.6231155778895,-49.9246231155779,-0.903720904639933,0.145863850517955,1.31764
-56.5628140703518,-49.9246231155779,-0.835077089834666,0.151531736865772,1.31764
-56.5025125628141,-49.9246231155779,-0.855549706369576,0.165399157102906,1.31764
-56.4422110552764,-49.9246231155779,-0.944858985543682,0.178592613372196,1.31764
-56.3819095477387,-49.9246231155779,-1.06138358937443,0.167202479163148,1.31764
-56.321608040201,-49.9246231155779,-1.19999344094605,0.144459192794622,1.31764
-56.2613065326633,-49.9246231155779,-1.2299589693935,0.146452736069458,1.31764
-56.2010050251256,-49.9246231155779,-1.1893713194798,0.138080551963813,1.31764
-56.1407035175879,-49.9246231155779,-1.2485952764292,0.131154464608028,1.31764
-56.0804020100502,-49.9246231155779,-1.26722908949444,0.152235094591016,1.31764
-56.0201005025126,-49.9246231155779,-1.29810642683971,0.159537809452886,1.31764
-55.9597989949749,-49.9246231155779,-1.32715380758334,0.158424971656241,1.31764
-55.8994974874372,-49.9246231155779,-1.32112002490872,0.183512574106547,1.31764
-55.8391959798995,-49.9246231155779,-1.28746865996244,0.174866595329221,1.31764
-55.7788944723618,-49.9246231155779,-1.28384606232229,0.186192606413707,1.31764
-55.7185929648241,-49.9246231155779,-1.28673664088395,0.161773424474871,1.31764
